record_id,well_id,time_days,observed_concentration_mg_L,clean_concentration_mg_L
PV00565,W034,2700.0,1.4591803007785797,1.6028654478295752
PV00141,W016,900.0,1.2095972814290266,1.2550090320500462
PV00435,W028,4140.0,0.010304459795303242,0.01203994566297601
PV00070,W013,540.0,0.0016025053024596142,0.0016218177934400502
PV00291,W022,3060.0,0.07850601415787208,0.0768048005743528
PV00258,W021,1260.0,4.705249092154852,4.7576278815655355
PV00613,W036,3060.0,4.057795973910221,4.008411380346671
PV00229,W019,4320.0,0.00835297806614663,4.634939067407507e-07
PV00249,W020,3780.0,0.001077570264746758,3.3282922568408296e-05
PV00383,W026,3060.0,0.5430807049253596,0.5514519126653487
PV00337,W024,3060.0,0.5345745808898603,0.07634153676525214
PV00110,W014,3600.0,0.0,3.876182113849468e-07
PV00294,W022,3600.0,0.0024245439217114436,0.002156136773937208
PV00387,W026,3780.0,0.007115571568915626,0.008830335055332065
PV00455,W029,3600.0,3.760794189546568e-07,0.23490740834274346
PV00200,W018,3240.0,0.0007727374553331216,0.00012846684946300042
PV00333,W024,2340.0,8.147257695188594,3.320893612007016
PV00159,W016,4140.0,0.0009317299587688823,8.607817665824267e-08
PV00441,W029,1080.0,12.777476270085259,2.202762978350088e-09
PV00321,W023,4320.0,0.006198332957996534,1.1159619698602911e-05
PV00053,W012,1620.0,0.4152850946108649,0.35381453035015625
PV00558,W034,1440.0,0.0003333519240797361,9.339234395782848e-11
PV00451,W029,2880.0,0.00016838629665819028,3.941408999128664
PV00248,W020,3600.0,0.0,0.0001331854832287521
PV00280,W022,1080.0,0.015597383927609355,0.015436905532229855
PV00101,W014,1980.0,0.21292366697369233,0.19292060209797857
PV00422,W028,1800.0,0.5206339641848962,0.5144962761858319
PV00508,W032,720.0,0.0,1.3741429351972528e-38
PV00426,W028,2520.0,7.794491870274913,6.9881327023200015
PV00327,W024,1260.0,0.00032990225141020914,0.4484150945230814
PV00446,W029,1980.0,0.18766423841433935,1.9676143025554302
PV00154,W016,3240.0,0.004105714006208391,0.00013308434177044162
PV00500,W031,3420.0,2.0244942798819334,2.206028759307773
PV00527,W032,4140.0,0.1774371858691481,0.11898876404664277
PV00530,W033,540.0,0.0,2.0218718655503184e-74
PV00385,W026,3420.0,0.11589445508403617,0.07929719175334063
PV00324,W024,720.0,0.00022778405433579997,1.6030446589252167e-10
PV00155,W016,3420.0,0.0009021906003369928,3.152253083667655e-05
PV00236,W020,1440.0,9.707780841456275,10.560126917358817
PV00293,W022,3420.0,0.009161147270893004,0.00742874405281321
PV00521,W032,3060.0,6.125413084717605,4.82126341555481
PV00370,W026,720.0,0.0005430182443368806,2.6155833998564263e-17
PV00388,W026,3960.0,0.0015491040256118058,0.0027414504694603732
PV00618,W036,3960.0,1.2773588871776758,1.2752984973288253
PV00417,W028,900.0,0.0,2.4513513361342317e-15
PV00354,W025,1980.0,6.9073795686558865,7.7016774255651015
PV00371,W026,900.0,0.0,1.904584366941152e-09
PV00132,W015,3420.0,0.0023457399469060613,1.7704781678361106e-06
PV00384,W026,3240.0,0.21697401616689396,0.2171793561765034
PV00620,W036,4320.0,0.3469641119677157,0.3462659184367715
PV00564,W034,2520.0,0.6709612720911179,0.6075594182638352
PV00499,W031,3240.0,3.4394918957627105,3.5207475174659035
PV00510,W032,1080.0,0.0021808389833126167,5.944247176777744e-15
PV00575,W035,360.0,0.0023038482459750197,5.85527e-319
PV00239,W020,1980.0,4.630235875555462,4.772977065620408
PV00134,W015,3780.0,0.0,8.370900872234867e-08
PV00202,W018,3600.0,0.0,7.1152649995831424e-06
PV00272,W021,3780.0,0.0022813879832616,3.2861439778270064e-05
PV00108,W014,3240.0,0.000368442901876512,8.07079009195513e-06
PV00098,W014,1440.0,4.853728380377389,5.094395202638132
PV00142,W016,1080.0,7.038059442041084,7.298359223730942
PV00470,W030,2160.0,4.107239060624559,4.269181467717203
PV00596,W035,4140.0,0.7050660615862834,0.7055638784916866
PV00273,W021,3960.0,0.0,8.05467940414217e-06
PV00447,W029,2160.0,0.04968447074190016,4.383230344950006
PV00220,W019,2700.0,0.1109775583601243,0.08535896078876574
PV00259,W021,1440.0,9.914672451455427,10.167019852079225
PV00099,W014,1620.0,1.8591889554690118,2.0604009004052357
PV00342,W024,3960.0,0.0018634786001851175,0.00016297400602124424
PV00213,W019,1440.0,11.059239528784506,10.37535929273816
PV00572,W034,3960.0,1.3515743886391096,1.306644659018168
PV00567,W034,3060.0,4.592622023927203,4.138997045413332
PV00179,W017,3600.0,6.6234009262547995e-06,7.301440537835502e-06
PV00146,W016,1800.0,3.4947835226841293,3.4398312317803144
PV00168,W017,1620.0,6.537819267055197,7.239465243828996
PV00316,W023,3420.0,0.014975275896343086,0.0074197771858260505
PV00270,W021,3420.0,0.00018560167865893106,0.0005132238828084763
PV00109,W014,3420.0,0.0011708252669704645,1.7764891789483313e-06
PV00013,W010,2700.0,0.0,5.440133347253818e-05
PV00409,W027,3600.0,0.0030958057335803363,0.02660875039928384
PV00060,W012,2880.0,0.0015461579136583766,1.122710027882452e-05
PV00506,W032,360.0,0.0,9.676143221815263e-239
PV00570,W034,3600.0,3.264407089218675,3.2195286762475503
PV00283,W022,1620.0,8.167459806984196,7.848525419434621
PV00261,W021,1800.0,9.04197037783166,8.859499567440507
PV00450,W029,2700.0,0.0007039147162275967,5.738540709689885
PV00308,W023,1980.0,11.444313444843713,9.59074886111312
PV00003,W010,900.0,10.974540370967317,13.253343668679296
PV00419,W028,1260.0,0.0,8.82581406843485e-06
PV00601,W036,900.0,0.001312859437375685,1.4099634747533616e-33
PV00561,W034,1980.0,0.0037717264515229262,0.001303024262928907
PV00187,W018,900.0,1.039484259996917,1.067135046693585
PV00320,W023,4140.0,0.006198332957996534,4.321472078778011e-05
PV00052,W012,1440.0,0.9846253527774371,1.1638319196763534
PV00017,W010,3420.0,0.0008656285196350753,1.0764245862627791e-07
PV00585,W035,2160.0,0.020042392843253747,0.019927972079891516
PV00050,W012,1080.0,9.05298840705299,7.687916948355199
PV00191,W018,1620.0,7.7714109546083465,6.796203476019528
PV00115,W015,360.0,0.0009911087296761002,3.0273606466291958e-19
PV00619,W036,4140.0,0.6654913694852564,0.6940569557900477
PV00464,W030,1080.0,0.0006980865962434708,2.0725965994179178e-09
PV00545,W033,3240.0,3.4339325770273286,3.455467868734869
PV00592,W035,3420.0,3.8971229522606388,4.124111530729127
PV00609,W036,2340.0,0.14546866272668793,0.14128724939475895
PV00057,W012,2340.0,3.822407478128436e-05,0.0011225265939212579
PV00240,W020,2160.0,1.9917921289844063,2.078333793490533
PV00553,W034,540.0,0.0013500405647272782,1.7691687800456148e-101
PV00030,W011,1620.0,0.40216186593318975,0.389828914190817
PV00281,W022,1260.0,0.6616414422094208,0.45611900769711605
PV00055,W012,1980.0,0.020339296048964214,0.022387716689550426
PV00381,W026,2700.0,2.7006978068630323,2.6465716145174256
PV00452,W029,3060.0,3.6281022014339394e-05,2.312832721725024
PV00022,W010,4320.0,0.0008870902135841415,4.1612343448441546e-11
PV00379,W026,2340.0,6.589073784380033,7.207845223364582
PV00214,W019,1620.0,13.195001874633029,11.958671599733087
PV00440,W029,900.0,8.0182876417997,2.3136356416412037e-15
PV00051,W012,1260.0,4.025758781060599,3.3449928035426093
PV00046,W012,360.0,0.0,6.795776997443102e-10
PV00209,W019,720.0,0.0,9.765333215639458e-06
