well_id,x,y,z,screen_depth_m
W001,34.0,15.413130025095104,1.6,1.6
W002,34.0,17.291177374240604,1.6,1.6
W003,34.0,19.491581190940767,3.4,3.4
W004,44.0,15.780606549649903,2.5,2.5
W005,44.0,17.732236793164738,3.4,3.4
W006,44.0,19.716947050365107,3.4,3.4
W007,56.0,15.773837887340884,2.5,2.5
W008,56.0,17.580515395745017,2.5,2.5
W009,56.0,19.721306925226244,3.4,3.4
W010,70.0,15.763731978770124,3.4,3.4
W011,70.0,17.401644570819574,2.5,2.5
W012,70.0,19.674961282306803,1.6,1.6
W013,86.0,15.907098293473258,2.5,2.5
W014,86.0,17.396113735643453,1.6,1.6
W015,86.0,19.633309822958832,2.5,2.5
W016,104.0,15.56279954112207,2.5,2.5
W017,104.0,17.486201446141504,3.4,3.4
W018,104.0,19.538961678532242,1.6,1.6
W019,124.0,15.4652411538939,1.6,1.6
W020,124.0,17.586135873250615,1.6,1.6
W021,124.0,19.59795026996045,3.4,3.4
W022,146.0,15.622324695488327,3.4,3.4
W023,146.0,17.418888003617987,1.6,1.6
W024,146.0,19.68038493126017,2.5,2.5
W025,170.0,15.760654455011101,1.6,1.6
W026,170.0,17.379653412045418,1.6,1.6
W027,170.0,19.63548350759508,1.6,1.6
W028,196.0,15.473703436124769,2.5,2.5
W029,196.0,17.47571483225353,1.6,1.6
W030,196.0,19.67210345815948,3.4,3.4
W031,224.0,15.699912247069339,2.5,2.5
W032,224.0,17.449848308435822,3.4,3.4
W033,224.0,19.656585957334883,2.5,2.5
W034,254.0,15.876399680221501,2.5,2.5
W035,254.0,17.331558184565637,3.4,3.4
W036,254.0,19.499247054456717,3.4,3.4
