record_id,well_id,time_days,observed_concentration_mg_L,clean_concentration_mg_L
EV00000,W001,540.0,4.726625092511086,4.724039844620946
EV00001,W001,720.0,1.6540776276605662,1.4341242472538087
EV00002,W001,900.0,0.338764575828949,0.33910861905758044
EV00003,W001,1080.0,0.07781981793414405,0.07595071867044942
EV00004,W001,1260.0,0.019018855025663847,0.016588583539655644
EV00005,W001,1440.0,0.00392707227592488,0.0035738808043399325
EV00006,W001,1620.0,0.0,0.0007636150879418212
EV00007,W001,1800.0,0.0029981468932489663,0.0001578612075054192
EV00008,W001,1980.0,0.00011617695437214905,2.9774772631990704e-05
EV00009,W001,2160.0,0.000778989428027819,5.6686193944833255e-06
EV00010,W001,2340.0,0.0,1.0876285239610307e-06
EV00011,W001,2520.0,2.07531462060735e-05,2.1005595216125977e-07
EV00012,W001,2700.0,0.0,4.0797160909423e-08
EV00013,W001,2880.0,0.0,7.962280301473487e-09
EV00014,W001,3060.0,0.0,1.5605994315643327e-09
EV00015,W001,3240.0,0.0,3.0702449236713116e-10
EV00016,W001,3420.0,0.0,6.06038238534369e-11
EV00017,W001,3600.0,0.0,1.1998286502458987e-11
EV00018,W001,3780.0,0.0,2.3817737977438144e-12
EV00019,W001,3960.0,0.0,4.739499337572372e-13
EV00020,W001,4140.0,0.00011450341860819109,9.451896411603453e-14
EV00021,W001,4320.0,0.0,1.8887585632084855e-14
EV00022,W001,4500.0,0.0035020144165551236,3.7812197524360005e-15
EV00023,W001,4680.0,0.0,7.582652445373988e-16
EV00024,W001,4860.0,0.0,1.522956064433551e-16
EV00025,W001,5040.0,0.003830154322243748,3.063233915058413e-17
EV00026,W002,540.0,5.897736327102211,5.159779889051318
EV00027,W002,720.0,1.5031030148953333,1.5140649821654204
EV00028,W002,900.0,0.31255691189671325,0.35265138036511445
EV00029,W002,1080.0,0.07517181968950207,0.0783138112951169
EV00030,W002,1260.0,0.018721481615472133,0.01701131748984267
EV00031,W002,1440.0,0.0030694060594966483,0.0036510002814504464
EV00032,W002,1620.0,0.0003842959484292016,0.0007779034496018396
EV00033,W002,1800.0,0.0007846608513496623,0.00016046857750608878
EV00034,W002,1980.0,0.000845108298616834,3.0214932602522384e-05
EV00035,W002,2160.0,0.0009851228469723785,5.7444573333277195e-06
EV00036,W002,2340.0,0.0,1.100916975932461e-06
EV00037,W002,2520.0,0.0,2.1241748932642724e-07
EV00038,W002,2700.0,0.0009243295509627068,4.12219100602779e-08
EV00039,W002,2880.0,0.0010447097024975263,8.039470674183691e-09
EV00040,W002,3060.0,0.0,1.574754218424883e-09
EV00041,W002,3240.0,0.002500026230968196,3.0964072590099154e-10
EV00042,W002,3420.0,0.0007751244400295051,6.109077817692964e-11
EV00043,W002,3600.0,7.448903012307158e-05,1.2089489341326877e-11
EV00044,W002,3780.0,0.0,2.398951212805209e-12
EV00045,W002,3960.0,0.0,4.772015443352625e-13
EV00046,W002,4140.0,0.0,9.513730194562059e-14
EV00047,W002,4320.0,0.0,1.9005661838345668e-14
EV00048,W002,4500.0,0.0007540347408624411,3.803853354909512e-15
EV00049,W002,4680.0,0.0013445202146327743,7.626190009618756e-16
EV00050,W002,4860.0,0.21975470960757934,1.5313578997239253e-16
EV00051,W002,5040.0,0.0,3.0794960593360377e-17
EV00052,W003,540.0,4.606798897665235,4.450214562848159
EV00053,W003,720.0,1.3246897495039627,1.3830337937823938
EV00054,W003,900.0,0.3161677155245592,0.3303902883019935
EV00055,W003,1080.0,0.06067187250522862,0.07442328727134956
EV00056,W003,1260.0,0.017679270574297964,0.016314637275415995
EV00057,W003,1440.0,0.0031779188238787778,0.003523815599242813
EV00058,W003,1620.0,0.0,0.000754327097358634
EV00059,W003,1800.0,0.0007114326488913483,0.0001561646213740672
EV00060,W003,1980.0,0.0,2.9488139519165274e-05
EV00061,W003,2160.0,0.0,5.619202021755052e-06
EV00062,W003,2340.0,0.0,1.078964959603677e-06
EV00063,W003,2520.0,0.00010979234425784109,2.0851563758067194e-07
EV00064,W003,2700.0,0.00014812690873203783,4.052001333808497e-08
EV00065,W003,2880.0,0.0011027961599263513,7.911897420188668e-09
EV00066,W003,3060.0,0.0,1.5513578507444884e-09
EV00067,W003,3240.0,0.0,3.0531594277332747e-10
EV00068,W003,3420.0,0.00010615953788953551,6.028574478121762e-11
EV00069,W003,3600.0,0.0,1.1938700992846923e-11
EV00070,W003,3780.0,0.0,2.3705493035659084e-12
EV00071,W003,3960.0,0.0,4.718248469055677e-13
EV00072,W003,4140.0,0.0,9.411479165007536e-14
EV00073,W003,4320.0,0.0,1.881039573361452e-14
EV00074,W003,4500.0,0.0,3.7664217168269244e-15
EV00075,W003,4680.0,0.0005270330730372363,7.554184078917471e-16
