record_id,well_id,time_days,anomaly_label,event_id,root_cause
EV00000,W001,540.0,normal,E000,none
EV00001,W001,720.0,normal,E000,none
EV00002,W001,900.0,normal,E000,none
EV00003,W001,1080.0,normal,E000,none
EV00004,W001,1260.0,normal,E000,none
EV00005,W001,1440.0,normal,E000,none
EV00006,W001,1620.0,normal,E000,none
EV00007,W001,1800.0,normal,E000,none
EV00008,W001,1980.0,normal,E000,none
EV00009,W001,2160.0,normal,E000,none
EV00010,W001,2340.0,normal,E000,none
EV00011,W001,2520.0,normal,E000,none
EV00012,W001,2700.0,normal,E000,none
EV00013,W001,2880.0,stuck_zero,E022,stuck_zero block caused by monitoring logger fault
EV00014,W001,3060.0,stuck_zero,E022,stuck_zero block caused by monitoring logger fault
EV00015,W001,3240.0,stuck_zero,E022,stuck_zero block caused by monitoring logger fault
EV00016,W001,3420.0,normal,E000,none
EV00017,W001,3600.0,normal,E000,none
EV00018,W001,3780.0,normal,E000,none
EV00019,W001,3960.0,normal,E000,none
EV00020,W001,4140.0,normal,E000,none
EV00021,W001,4320.0,normal,E000,none
EV00022,W001,4500.0,normal,E000,none
EV00023,W001,4680.0,normal,E000,none
EV00024,W001,4860.0,normal,E000,none
EV00025,W001,5040.0,normal,E000,none
EV00026,W002,540.0,normal,E000,none
EV00027,W002,720.0,normal,E000,none
EV00028,W002,900.0,normal,E000,none
EV00029,W002,1080.0,normal,E000,none
EV00030,W002,1260.0,normal,E000,none
EV00031,W002,1440.0,normal,E000,none
EV00032,W002,1620.0,normal,E000,none
EV00033,W002,1800.0,normal,E000,none
EV00034,W002,1980.0,normal,E000,none
EV00035,W002,2160.0,normal,E000,none
EV00036,W002,2340.0,normal,E000,none
EV00037,W002,2520.0,normal,E000,none
EV00038,W002,2700.0,normal,E000,none
EV00039,W002,2880.0,normal,E000,none
EV00040,W002,3060.0,normal,E000,none
EV00041,W002,3240.0,normal,E000,none
EV00042,W002,3420.0,normal,E000,none
EV00043,W002,3600.0,normal,E000,none
EV00044,W002,3780.0,normal,E000,none
EV00045,W002,3960.0,normal,E000,none
EV00046,W002,4140.0,normal,E000,none
EV00047,W002,4320.0,normal,E000,none
EV00048,W002,4500.0,normal,E000,none
EV00049,W002,4680.0,normal,E000,none
EV00050,W002,4860.0,spike,E007,single-point jump inconsistent with temporal/spatial plume
EV00051,W002,5040.0,normal,E000,none
EV00052,W003,540.0,normal,E000,none
EV00053,W003,720.0,normal,E000,none
EV00054,W003,900.0,normal,E000,none
EV00055,W003,1080.0,normal,E000,none
EV00056,W003,1260.0,normal,E000,none
EV00057,W003,1440.0,normal,E000,none
EV00058,W003,1620.0,normal,E000,none
EV00059,W003,1800.0,normal,E000,none
EV00060,W003,1980.0,normal,E000,none
EV00061,W003,2160.0,normal,E000,none
EV00062,W003,2340.0,normal,E000,none
EV00063,W003,2520.0,normal,E000,none
EV00064,W003,2700.0,normal,E000,none
EV00065,W003,2880.0,normal,E000,none
EV00066,W003,3060.0,normal,E000,none
EV00067,W003,3240.0,normal,E000,none
EV00068,W003,3420.0,normal,E000,none
EV00069,W003,3600.0,normal,E000,none
EV00070,W003,3780.0,normal,E000,none
EV00071,W003,3960.0,normal,E000,none
EV00072,W003,4140.0,normal,E000,none
EV00073,W003,4320.0,normal,E000,none
EV00074,W003,4500.0,normal,E000,none
EV00075,W003,4680.0,normal,E000,none
EV00076,W003,4860.0,normal,E000,none
EV00077,W003,5040.0,normal,E000,none
EV00078,W004,540.0,normal,E000,none
EV00079,W004,720.0,normal,E000,none
EV00080,W004,900.0,normal,E000,none
EV00081,W004,1080.0,normal,E000,none
EV00082,W004,1260.0,normal,E000,none
EV00083,W004,1440.0,normal,E000,none
EV00084,W004,1620.0,normal,E000,none
EV00085,W004,1800.0,normal,E000,none
EV00086,W004,1980.0,normal,E000,none
EV00087,W004,2160.0,normal,E000,none
EV00088,W004,2340.0,normal,E000,none
EV00089,W004,2520.0,normal,E000,none
EV00090,W004,2700.0,normal,E000,none
EV00091,W004,2880.0,normal,E000,none
EV00092,W004,3060.0,normal,E000,none
EV00093,W004,3240.0,normal,E000,none
EV00094,W004,3420.0,normal,E000,none
EV00095,W004,3600.0,normal,E000,none
EV00096,W004,3780.0,normal,E000,none
EV00097,W004,3960.0,normal,E000,none
EV00098,W004,4140.0,normal,E000,none
EV00099,W004,4320.0,normal,E000,none
EV00100,W004,4500.0,normal,E000,none
EV00101,W004,4680.0,normal,E000,none
EV00102,W004,4860.0,normal,E000,none
EV00103,W004,5040.0,normal,E000,none
EV00104,W005,540.0,normal,E000,none
EV00105,W005,720.0,normal,E000,none
EV00106,W005,900.0,normal,E000,none
EV00107,W005,1080.0,normal,E000,none
EV00108,W005,1260.0,normal,E000,none
EV00109,W005,1440.0,normal,E000,none
EV00110,W005,1620.0,normal,E000,none
EV00111,W005,1800.0,normal,E000,none
EV00112,W005,1980.0,normal,E000,none
EV00113,W005,2160.0,normal,E000,none
EV00114,W005,2340.0,normal,E000,none
EV00115,W005,2520.0,normal,E000,none
EV00116,W005,2700.0,normal,E000,none
EV00117,W005,2880.0,normal,E000,none
EV00118,W005,3060.0,normal,E000,none
EV00119,W005,3240.0,normal,E000,none
EV00120,W005,3420.0,normal,E000,none
EV00121,W005,3600.0,normal,E000,none
EV00122,W005,3780.0,normal,E000,none
EV00123,W005,3960.0,normal,E000,none
EV00124,W005,4140.0,normal,E000,none
EV00125,W005,4320.0,normal,E000,none
EV00126,W005,4500.0,normal,E000,none
EV00127,W005,4680.0,normal,E000,none
EV00128,W005,4860.0,spike,E013,single-point jump inconsistent with temporal/spatial plume
